Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd2,SERCAmCherry_gray_avg_wd3,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8
19.521,633.8603333,727.7563333,494.3583333,457.909,528.1503333,492.7986667,488.0393333,431.9363333,660.9526667,700.925,619.7356667,659.6993333,574.8006667,538.424
19.748,630.7633333,731.7236667,487.3383333,464.697,535.199,503.8063333,499.3726667,425.8103333,660.3366667,679.909,623.013,661.6673333,572.0593333,547.3023333
19.975,637.8236667,721.101,490.7483333,467.5,534.325,494.1296667,510.0243333,442.899,670.8886667,684.2473333,634.0746667,636.1443333,562.2636667,509.207
20.202,638.796,707.44,498.5286667,470.0413333,525.6406667,501.8783333,492.8626667,429.0276667,659.9133333,705.3676667,650.9086667,647.9823333,554.4426667,481.7263333
20.429,638.2193333,681.995,487.3233333,472.9696667,510.7706667,523.1533333,479.5,429.322,677.4303333,683.226,632.2843333,654.2006667,552.2826667,497.1516667
20.656,628.46,691.0053333,482.5023333,458.1363333,517.3636667,507.6586667,479.4116667,419.871,668.0516667,683.841,623.0063333,679.9813333,550.7143333,521.804
20.883,623.3976667,712.1313333,497.2313333,456.0453333,550.826,519.932,494.0343333,415.9863333,647.6356667,719.949,650.6666667,665.2906667,556.764,543.552
21.11,634.0786667,709.3183333,499.4946667,465.2463333,533.2976667,524.8246667,514.0196667,441.689,681.4026667,698.4326667,641.857,643.138,584.8676667,512.2993333
21.337,646.3056667,690.2836667,488.5056667,458.5603333,497.4336667,508.799,511.2546667,415.2746667,702.667,680.6713333,622.073,664.1453333,585.0086667,499.3723333
21.564,627.124,677.4163333,471.882,460.0833333,515.6336667,515.4783333,515.039,403.772,662.3236667,680.7583333,606.3176667,672.6816667,547.3753333,515.2586667
21.791,631.2956667,691.8893333,482.2186667,462.8486667,529.2393333,519.0383333,523.7256667,466.394,667.4376667,701.501,605.047,672.117,557.9583333,550.3643333
22.017,650.468,691.0753333,497.24,456.163,523.6223333,502.2696667,504.5293333,452.6246667,678.7883333,701.3313333,622.153,644.0136667,547.962,515.967
22.244,640.013,676.8493333,498.8713333,467.1366667,522.2023333,497.4056667,500.152,425.3723333,671.8383333,713.2266667,613.1213333,666.3783333,533.791,512.652
22.471,626.616,671.551,494.9903333,470.7916667,519.7186667,516.4033333,499.4706667,411.564,669.6083333,707.5206667,607.3526667,678.267,553.23,557.1506667
22.698,628.1046667,679.3766667,498.021,467.727,517.691,516.0773333,493.4606667,425.8156667,662.35,690.5336667,622.6853333,651.4593333,555.567,543.3883333
22.925,634.2043333,681.3863333,492.3613333,467.2273333,511.0316667,505.3196667,492.5096667,431.004,647.7976667,682.5016667,621.1393333,669.4323333,542.2406667,503.7636667
23.152,621.986,678.5056667,487.5896667,463.985,529.7386667,510.8106667,490.9166667,436.4856667,634.0176667,706.332,626.6893333,687.7916667,538.2906667,510.719
23.379,630.575,694.2306667,485.7283333,474.1513333,489.9683333,523.6133333,499.343,421.944,627.3353333,685.268,618.6323333,663.7603333,538.468,533.6363333
23.606,651.5106667,693.8696667,492.399,476.841,474.7716667,511.1703333,504.6863333,391.2476667,650.5063333,700.6303333,620.583,650.7296667,553.7,510.3513333
23.833,637.9933333,685.2196667,508.91,473.5723333,507.4966667,503.41,509.5393333,410.102,645.584,713.4163333,624.883,683.4056667,565.777,501.0606667
24.06,618.1026667,678.9663333,493.2323333,477.303,497.6646667,509.5663333,519.3823333,431.564,677.693,722.592,606.4396667,699.0293333,567.763,495.9866667
24.287,610.2103333,663.7416667,500.7496667,471.8486667,497.1516667,498.1246667,497.598,438.156,665.251,716.3533333,597.3163333,665.5633333,589.5983333,521.6493333
24.514,613.2366667,669.4373333,513.2463333,464.7423333,506.099,512.1083333,465.098,440.078,655.091,712.2973333,605.8966667,660.284,582.8623333,519.5056667
24.741,620.6316667,666.558,502.2916667,462.0643333,515.001,532.3993333,474.3433333,438.8986667,662.717,697.0996667,625.096,674.4476667,560.4116667,517.3103333
24.968,621.1443333,653.4226667,493.6936667,452.8333333,528.5543333,526.1286667,493.936,424.4926667,672.0866667,704.5753333,610.4656667,652.464,552.628,524.869
25.195,621.969,673.7,508.1056667,450.814,543.861,499.25,495.6763333,423.24,669.0026667,703.549,607.2463333,643.646,564.6133333,526.093
25.422,621.7846667,690.3676667,505.563,474.7576667,535.7966667,492.0106667,499.5096667,434.6966667,693.178,685.6046667,611.7826667,631.018,556.0456667,553.3926667
25.649,632.3293333,678.8966667,499.9026667,482.6966667,527.0496667,504.8756667,493.7256667,424.4653333,679.992,677.9876667,627.358,635.6,546.584,520.2953333
25.876,637.633,688.2176667,496.246,471.3333333,524.6643333,501.6326667,491.7696667,435.4243333,672.148,677.23,637.243,644.4953333,553.901,521.2543333
26.103,632.7396667,692.6413333,484.692,463.485,514.7373333,502.135,491.6276667,440.3163333,669.115,712.1673333,636.4653333,638.2586667,551.0233333,550.2136667
26.33,631.3273333,673.5213333,502.985,472.5226667,515.567,501.522,481.3676667,434.2683333,655.5723333,710.7,625.733,668.982,555.3473333,521.697
26.557,636.0316667,663.1376667,493.546,473.6513333,499.567,513.3806667,494.039,434.147,664.2513333,707.2973333,628.0746667,669.3956667,547.2053333,524.9533333
26.784,641.751,672.7193333,509.4943333,474.9546667,494.036,525.501,495.348,449.9616667,676.5733333,695.04,639.3886667,659.5326667,549.1786667,516.0116667
27.011,655.3616667,677.6416667,501.0233333,475.3373333,498.3073333,524.22,475,426.0673333,667.0213333,691.3223333,636.122,677.3616667,571.6623333,539.0363333
27.238,653.7716667,676.9816667,493.2186667,459.265,525.1566667,518.2003333,467.049,425.042,685.7623333,686.648,617.999,689.8876667,562.3596667,519.15
27.465,646.7966667,678.6913333,501.5503333,457.7083333,505.5536667,503.7263333,471.2646667,425.6166667,693.4803333,699.0213333,616.5966667,682.738,568.3623333,539.238
27.692,630.8666667,663.105,493.7976667,455.924,515.3696667,500.2013333,474.76,421.0426667,665.2033333,697.4023333,621.3403333,674.382,569.7206667,532.514
27.919,630.998,677.3136667,490.0486667,458.3556667,525.1166667,502.9033333,485.4313333,418.883,650.7456667,696.718,601.409,658.0303333,560.456,548.126
28.146,631.7026667,696.7916667,500.0013333,469.932,526.5726667,500.2233333,497.1373333,415.158,664.122,695.1166667,602.0466667,649.8626667,556.6016667,525.194
28.373,625.294,702.6383333,510.069,476.663,482.2056667,505.6863333,504.5296667,425.2783333,692.8956667,678.0283333,609.5,670.2723333,547.7866667,545.394
28.6,617.7496667,688.1493333,506.2723333,472.591,517.7656667,521.2813333,505.6176667,433.6113333,654.3393333,677.7346667,602.8726667,676.4593333,556.991,495.551
28.827,632.155,664.6543333,491.079,467.9623333,493.8686667,520.7093333,486.0393333,426.9096667,653.2753333,682.1613333,610.7626667,659.338,561.548,496.9286667
29.054,645.7623333,667.851,495.4176667,468.0986667,511.1263333,532.6053333,486.289,418.858,660.3193333,682.7436667,616.5116667,660.806,560.289,523.2546667
29.281,642.9366667,676.7266667,510.9336667,470.7423333,503.845,524.788,501.6473333,442.992,660.5093333,698.045,623.1753333,673.368,559.6133333,538.8163333
29.508,628.4196667,667.582,520.4196667,474.3483333,494.0443333,520.9653333,484.2696667,440.2733333,681.7003333,708.81,626.4696667,672.5293333,579.737,520.9596667
29.735,620.1653333,661.5586667,505.341,488.9656667,515.453,529.9346667,471.5003333,417.477,686.107,718.8086667,629.381,676.5433333,563.5153333,542.9993333
29.962,625.1746667,654.7263333,500.447,489,510.6303333,510.6913333,482.9213333,424.678,663.8196667,715.408,632.8493333,665.734,556.3506667,508.9636667
30.189,626.2866667,655.6223333,501.4293333,475.9696667,498.103,514.7123333,484.6173333,413.729,633.1583333,718.0733333,618.801,666.84,576.6366667,527.055
30.416,643.103,662.0943333,504.968,481.485,507.99,524.8326667,475.2843333,437.8243333,667.3183333,725.518,619.845,696.1093333,582.5873333,522.4716667
30.643,666.06,657.0866667,505.811,482.269,480.006,514.1576667,483.657,454.078,693.985,698.621,608.3196667,705.3493333,570.1886667,551.7983333
30.87,658.65,647.976,495.8566667,477.3406667,477.1753333,507.4106667,497.5833333,425.991,696.8283333,679.108,605.5533333,687.0673333,553.2343333,541.268
31.097,649.3296667,639.2403333,497.736,478.2916667,458.516,510.4556667,483.569,427.6863333,691.195,685.1776667,612.6806667,669.479,573.5306667,539.1596667
31.324,658.5223333,656.017,497.571,477.091,474.866,536.4326667,468.0983333,448.9633333,689.947,693.3176667,628.0893333,661.7546667,576.3553333,510.145
31.551,668.7163333,669.5543333,500.1426667,468.6326667,489.351,520.9136667,473.2843333,440.781,669.0256667,702.8703333,607.6146667,664.564,551.0343333,527.1513333
31.778,664.2133333,644.971,504.4536667,465.5683333,524.748,501.211,487.25,447.206,669.054,699.7353333,619.3656667,686.3583333,564.679,528.287
32.005,658.7363333,639.053,513.7593333,464.6703333,505.702,514.1303333,487.3333333,441.0526667,672.949,694.1116667,613.2253333,699.815,577.233,537.7806667
32.232,654.8413333,675.416,489.716,458.6516667,504.4236667,529.72,484.044,431.2533333,681.5783333,686.5183333,586.0763333,687.3796667,559.0076667,531.7953333
32.459,663.47,666.5453333,488.9843333,468.875,494.1496667,531.934,480.01,436.6786667,676.2603333,686.971,610.971,677.0166667,563.8526667,515.531
32.686,648.6673333,636.9576667,502.0913333,482.9166667,497.2763333,528.1576667,480.5246667,445.71,705.615,694.7573333,630.4063333,668.8513333,567.7943333,517.802
32.913,636.8106667,628.8176667,512.2233333,481.4393333,530.86,555.2516667,483.9506667,451.5276667,698.9333333,699.8196667,632.016,673.107,582.605,515.5263333
33.14,648.5926667,645.1193333,520.6553333,480.6513333,514.5516667,544.421,488.1373333,443.64,662.4403333,710.107,622.0413333,694.8896667,584.0846667,531.2286667
33.367,643.9886667,660.0206667,511.608,478.2803333,525.4176667,536.241,501.304,431.4786667,651.341,710.7293333,620.4473333,671.271,567.0913333,527.2033333
33.594,643.2916667,641.2073333,521.1113333,462.9546667,497.197,527.7776667,518.946,447.8276667,671.3883333,690.6566667,639.9273333,655.5833333,563.2163333,558.8683333
33.821,662.5753333,638.012,520.471,462.3103333,523.608,538.13,502.804,435.5906667,656.1326667,679.7193333,629.2136667,685.4806667,571.231,532.9773333
34.048,663.8453333,641.0336667,502.682,467.5756667,513.959,536.1423333,476.5343333,423.2646667,657.4826667,698.7696667,616.9786667,689.867,572.0356667,521.865
34.275,657.052,639.3433333,499.0143333,470.299,501.8406667,518.5886667,485.598,446.2816667,666.0896667,706.1806667,608.5443333,692.432,572.054,545.3966667
34.502,671.7916667,642.573,513.7973333,478.0226667,501.941,543.5983333,490.206,438.4953333,646.383,710.8373333,603.32,695.2746667,559.0346667,545.7223333
34.729,682.4446667,645.5146667,513.3413333,462.0036667,485.159,551.671,508.5,416.28,664.1013333,710.923,613.121,700.493,560.9233333,578.2856667
34.956,668.9733333,650.9956667,515.1293333,450.8333333,479.5213333,547.6213333,507.1666667,430.109,658.428,697.2296667,612.4166667,705.5753333,556.2216667,550.067
35.183,668.6766667,654.9613333,526.5723333,462.038,495.4456667,561.991,477.7646667,416.4243333,690.0226667,703.0696667,605.7976667,684.147,557.679,545.6816667
35.41,680.3776667,650.0816667,520.991,477.826,481.8546667,566.588,474.9363333,422.4016667,659.0223333,693.979,603.518,683.809,558.1113333,548.288
35.637,682.9826667,648.2083333,526.2006667,483.1553333,465.6813333,549.0906667,492.706,431.9206667,614.366,683.189,600.0933333,679.427,573.5676667,576.174
35.864,682.9776667,645.864,520.481,482.9393333,481.4256667,524.626,494.3086667,433.7026667,671.5406667,674.3336667,600.9356667,677.2643333,579.8833333,549.2563333
36.091,672.8083333,633.3053333,519.9983333,477.5076667,462.5696667,559.8043333,468.4116667,447.336,673.131,673.4396667,595.1783333,712.072,590.479,546.5906667
36.318,667.483,627.2703333,519.9186667,471.6136667,490.2746667,581.2453333,478.995,442.357,667.7413333,702.98,611.6686667,709.3243333,590.922,560.3456667
36.545,665.8966667,631.4633333,520.989,485.004,498.411,556.798,502.402,422.906,696.3803333,718.9696667,618.651,699.6023333,586.2353333,592.799
