Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,mCherry_gray_avg_wd1,mCherry_gray_avg_wd2,mCherry_gray_avg_wd3,mCherry_gray_avg_wd5,mCherry_gray_avg_wd6,mCherry_gray_avg_wd6,mCherry_gray_avg_wd8
12.484,634.9823333,700.0803333,485.032,448.4166667,597.8263333,507.337,522.0196667,437.6766667,,,,,,,
12.711,644.3073333,678.287,493.7163333,453.7046667,593.9696667,501.6673333,523.7743333,446.7086667,,,,,,,
12.938,641.445,682.117,482.8816667,444.875,577.6333333,521.867,505.9706667,431.7446667,,,,,,,
13.165,636.5426667,683.4736667,487.442,434.9093333,588.781,525.6323333,486.99,433.4076667,,,,,,,
13.392,641.155,677.547,493.9776667,432.5643333,575.2903333,512.599,490.7353333,440.7486667,,,,,,,
13.619,632.6656667,683.812,493.0453333,444.3033333,560.5306667,543.6573333,500.7893333,447.955,,,,,,,
13.846,611.4133333,726.277,513.9403333,458.4846667,548.1543333,534.5853333,505.0293333,448.4993333,,,,,,,
14.073,605.1903333,757.131,517.971,455.2273333,540.638,502.976,512.6863333,426.654,,,,,,,
14.3,604.9703333,731.125,492.9836667,449.7993333,561.4253333,516.0743333,506.0193333,447.2036667,,,,,,,
14.527,606.8363333,716.7926667,478.6976667,458.9546667,573.7806667,513.382,489.0536667,450.2053333,,,,,,,
14.754,590.3093333,700.679,485.911,462.019,565.5516667,506.7243333,490.5783333,455.8416667,,,,,,,
14.981,598.628,684.1,480.428,441.3333333,558.05,527.5133333,510.8676667,460.6153333,,,,,,,
15.208,634.6506667,689.525,470.063,434.095,544.839,515.8446667,508.069,452.5933333,,,,,,,
15.435,651.2993333,694.575,478.5953333,443.856,559.5923333,513.843,484.25,447.1946667,,,,,,,
15.662,639.177,683.494,486.546,438.5606667,587.6846667,511.7386667,480.2153333,427.5033333,,,,,,,
15.889,613.261,679.0143333,501.3296667,425.8636667,561.3863333,503.3296667,493.294,453.9353333,,,,,,,
16.116,622.627,678.8033333,501.7573333,420.3866667,556.062,528.193,497.412,447.8433333,,,,,,,
16.343,634.5613333,662.5806667,495.909,436.5453333,568.7793333,519.09,493.5833333,424.2343333,,,,,,,
16.57,632.3553333,668.2236667,501.4036667,460.1783333,558.5046667,503.216,498.2843333,438.1173333,,,,,,,
16.797,642.641,674.177,497.918,468.7426667,511.0753333,510.7503333,496.2596667,460.6486667,,,,,,,
17.024,638.5323333,653.9066667,492.6366667,459.7083333,500.9763333,526.259,508.7253333,455.9273333,,,,,,,
17.251,621.4656667,654.1943333,492.0073333,451.6893333,534.4363333,539.9656667,524.534,446.5766667,,,,,,,
17.478,607.7423333,649.2103333,487.781,438,523.561,529.2393333,507.2256667,434.9283333,,,,,,,
17.705,622.769,667.2296667,489.933,435.2123333,524.5053333,507.367,494.196,456.1896667,,,,,,,
17.932,628.3663333,681.7293333,496.1256667,449.0796667,539.1486667,513.8026667,498.294,456.898,,,,,,,
18.159,637.1573333,683.1356667,500.7413333,468.227,552.8323333,512.612,507.5586667,431.2643333,,,,,,,
18.386,643.7266667,699.993,498.3833333,468.875,552.2756667,491.5383333,514.745,432.552,,,,,,,
18.613,638.2853333,694.559,485.1733333,464.091,513.9143333,491.6096667,505.0293333,431.129,,,,,,,
18.84,638.4863333,684.068,479.4643333,470.019,496.224,523.6483333,496.8923333,413.1476667,,,,,,,
19.067,636.0896667,679.454,503.1806667,471.28,526.1123333,531.2433333,496.892,405.8373333,,,,,,,
19.294,639.6256667,688.24,502.0063333,466.6403333,531.755,500.8626667,495.8333333,426.8746667,,,,,,,
19.521,633.8603333,727.7563333,494.3583333,457.909,528.1503333,492.7986667,488.0393333,431.9363333,,,,,,,
19.748,630.7633333,731.7236667,487.3383333,464.697,535.199,503.8063333,499.3726667,425.8103333,,,,,,,
19.975,637.8236667,721.101,490.7483333,467.5,534.325,494.1296667,510.0243333,442.899,,,,,,,
20.202,638.796,707.44,498.5286667,470.0413333,525.6406667,501.8783333,492.8626667,429.0276667,,,,,,,
20.429,638.2193333,681.995,487.3233333,472.9696667,510.7706667,523.1533333,479.5,429.322,,,,,,,
20.656,628.46,691.0053333,482.5023333,458.1363333,517.3636667,507.6586667,479.4116667,419.871,,,,,,,
20.883,623.3976667,712.1313333,497.2313333,456.0453333,550.826,519.932,494.0343333,415.9863333,,,,,,,
21.11,634.0786667,709.3183333,499.4946667,465.2463333,533.2976667,524.8246667,514.0196667,441.689,,,,,,,
21.337,646.3056667,690.2836667,488.5056667,458.5603333,497.4336667,508.799,511.2546667,415.2746667,,,,,,,
21.564,627.124,677.4163333,471.882,460.0833333,515.6336667,515.4783333,515.039,403.772,,,,,,,
21.791,631.2956667,691.8893333,482.2186667,462.8486667,529.2393333,519.0383333,523.7256667,466.394,,,,,,,
22.017,650.468,691.0753333,497.24,456.163,523.6223333,502.2696667,504.5293333,452.6246667,,,,,,,
22.244,640.013,676.8493333,498.8713333,467.1366667,522.2023333,497.4056667,500.152,425.3723333,,,,,,,
22.471,626.616,671.551,494.9903333,470.7916667,519.7186667,516.4033333,499.4706667,411.564,,,,,,,
22.698,628.1046667,679.3766667,498.021,467.727,517.691,516.0773333,493.4606667,425.8156667,,,,,,,
22.925,634.2043333,681.3863333,492.3613333,467.2273333,511.0316667,505.3196667,492.5096667,431.004,,,,,,,
23.152,621.986,678.5056667,487.5896667,463.985,529.7386667,510.8106667,490.9166667,436.4856667,,,,,,,
23.379,630.575,694.2306667,485.7283333,474.1513333,489.9683333,523.6133333,499.343,421.944,,,,,,,
23.606,651.5106667,693.8696667,492.399,476.841,474.7716667,511.1703333,504.6863333,391.2476667,,,,,,,
23.833,637.9933333,685.2196667,508.91,473.5723333,507.4966667,503.41,509.5393333,410.102,,,,,,,
24.06,618.1026667,678.9663333,493.2323333,477.303,497.6646667,509.5663333,519.3823333,431.564,,,,,,,
24.287,610.2103333,663.7416667,500.7496667,471.8486667,497.1516667,498.1246667,497.598,438.156,,,,,,,
24.514,613.2366667,669.4373333,513.2463333,464.7423333,506.099,512.1083333,465.098,440.078,,,,,,,
24.741,620.6316667,666.558,502.2916667,462.0643333,515.001,532.3993333,474.3433333,438.8986667,,,,,,,
24.968,621.1443333,653.4226667,493.6936667,452.8333333,528.5543333,526.1286667,493.936,424.4926667,,,,,,,
25.195,621.969,673.7,508.1056667,450.814,543.861,499.25,495.6763333,423.24,,,,,,,
25.422,621.7846667,690.3676667,505.563,474.7576667,535.7966667,492.0106667,499.5096667,434.6966667,,,,,,,
