POSITION,old_mCherry_avg_wd1,old_mCherry_avg_wd2,old_mCherry_avg_wd3,old_mCherry_avg_wd4,old_mCherry_avg_wd5,old_mCherry_avg_wd6,old_mCherry_avg_wd7,old_mCherry_avg_wd8,old_mCherry_avg_wd9,old_mCherry_avg_wd10,old_mCherry_avg_wd11,new_orai_avg_wd2,new_orai_avg_wd3,new_orai_avg_wd4,new_orai_avg_wd5,new_orai_avg_wd6,new_orai_avg_wd8,old_orai_avg_wd1,old_orai_avg_wd2,old_orai_avg_wd3,old_orai_avg_wd4,old_orai_avg_wd5,stim_avg_wd2,stim_avg_wd3,stim_avg_wd4,stim_avg_wd6,stim_avg_wd7,stim_avg_wd8,stim_avg_wd9,stim_avg_wd10,stim_avg_wd11,stim_avg_wd12,disc1-WT-Avg,disc2-WT-Avg,disc3-WT-Avg,disc4-WT-Avg,disc5-WT-Avg,disc6-WT-Avg,disc7-WT-Avg,disc8-WT-Avg,disc10-WT-Avg,disc11-WT-Avg,disc12-WT-Avg,disc13-WT-Avg,disc15-WT-Avg,disc1-Avg-Best2,disc3-Avg-Best2,disc4-Avg-Best2,disc5-Avg-Best2,disc6-Avg-Best2,disc7-Avg-Best2,disc8-Avg-Best2,disc9-Avg-Best2,disc10-Avg-Best2,disc11-Avg-Best2,disc12-Avg-Best2,disc13-Avg-Best2,disc14-Avg-Best2,new_mCherry_avg_wd2,new_mCherry_avg_wd5,new_mCherry_avg_wd6,new_mCherry_avg_wd7,new_mCherry_avg_wd8,new_mCherry_avg_wd9,new_mCherry_avg_wd10,new_mCherry_avg_wd11,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd9,SERCA_gray_avg_wd10,SERCA_gray_avg_wd11,SERCA_gray_avg_wd12,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd4,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8,SERCAmCherry_gray_avg_wd9
134.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.8,210.9,326.7,107.3,91,136,391.5,-13.2,132.6,-179.5,103.4,171.5,95.6,279.7,667.5,305.3,101.4,350.6,460.3,310.4,138.6,-108.5,-144.4,72.6,67.3,236.2,344.2,189.5,180.1,137.2,227.5,150.6,146,175.4,699.2,797.7,914.1,549.5,597.5,1046.1,423.6,913.1,2518.4,1370.9,858.9,1231.9,1547.1,917.9
134.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.2,306.8,407.2,114.4,56.5,153.5,454.3,-62.1,75.3,-265,40.9,101.5,52.5,299,571,314.3,118,246.3,366.9,281.6,84.6,-80,-94.9,20.7,46.3,291,358.2,179.8,167.8,119.6,240.9,172.4,151.9,161.9,831.5,744.5,976.5,555.8,835.5,1210.8,443.1,706.7,2518.6,1324.9,912.7,1159.9,1701.2,1387.7
134.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.3,219.2,440.8,206.3,63,67.5,364.1,-20.7,153.8,-163,103.3,121,89.5,345.5,589,364.8,131.5,274.3,452.9,389.9,13.7,-165,-22.1,112.9,10.5,206.9,344.2,209.3,159.5,136.2,257.3,160.2,148.1,145.1,896.8,544.1,1098.3,340.3,822.1,1372.1,401.9,908.6,2725.3,932.5,804.7,1082.4,1545.6,1103.3
135.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.9,150.4,358.6,83.9,63,40,400.1,-9.1,145.6,-240.5,107.2,127,31.1,310.7,647.5,318.6,167.3,267.6,369.9,220.8,91.5,-175.5,-127.4,131.1,67.3,207.6,299.6,168.4,189.8,127.3,266,180.5,150.7,136.4,923.6,678.1,976.4,245,454.7,1348.2,431.5,759.2,2898.9,1004.2,936.6,1103.3,1545.1,961.5
135.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.8,325.2,406.4,157.1,19,38.5,443.2,25.4,136.2,-161,15.7,84.5,28.9,311.1,702.5,337.4,102.6,241.2,368.1,364.2,92.8,-155.5,-151.6,68.1,58.2,319.7,320.8,151.4,179.5,146.7,262.4,188.4,152,138.3,850.3,638.6,881,416.3,913.3,987.5,555.4,1062.1,2650.3,1320.4,910.6,1211.4,1610.4,1028.2
135.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.3,224.6,276.3,158.8,143.5,29,490.5,-52.8,161.1,-213,15.8,135,8.7,186.9,573,297.5,134,291.7,216.8,277.4,39.9,-142,-80.5,82.6,29.9,233.8,335,145.6,142.2,166.3,254.1,203.5,137.3,134.6,1212.6,617.2,764.5,443,1092.6,967.9,499.1,939.1,2577.4,1379.4,702.9,1300.4,1529.2,1173.9
135.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.7,293.1,305.4,119,-87.5,44,416.1,-27.6,216.1,-215.5,67.6,206.5,65.5,265.2,563.5,257.8,81.8,282.4,274.8,230.9,113.4,-184,-48.3,53.1,105.3,237.3,356.5,155.4,149.1,145.8,263.4,177.7,145,142.9,1312.4,611.2,640.6,381.7,992.1,955.4,400,1120.9,2498.8,1225.1,644.5,1257.4,1607.5,733.7
135.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.2,180,147,94.8,11,14.5,344.8,-77.2,97.6,-209,64.7,123.5,-5.2,312.3,594,320.3,148.9,258.5,423.2,464.7,154.4,-165.5,-61.2,92.8,21.1,164.6,360.9,135.3,167.6,126.3,270.8,137.4,108.3,155.4,876.5,501.5,870.8,479,698.7,921.8,381,1034.1,2634.8,1007.5,723.6,1138.1,1782.8,678.7
136.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.5,305.2,191.3,141.1,60,77.5,348.1,-56.4,266.1,-209.5,10.1,101.5,37.5,284.3,736.5,361,141.2,338.3,291.8,210.9,180,-205.5,-68.6,-23.4,75.3,220.1,315.2,153.4,182.3,124.8,257.1,107.3,132.5,132.8,914,546.9,913.6,579.5,483.3,1220.2,436.5,937.5,2267.8,826.6,774.8,870.5,1713.9,1463.5
136.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.2,276.8,183.2,203.2,22,50,428.8,-54.3,48.4,-171.5,142.8,72.5,32.1,376.3,641.5,387,114.2,301.7,250.2,346,62.6,-137.5,-89,57.7,-9.7,275.4,300.2,164.2,177.5,117.5,232.3,100.7,100,121.9,1129.5,697.8,782.7,502.8,681.3,1251.6,402.6,1077.1,2054.7,1136.4,971.1,680.8,1452,1066
136.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.9,298.1,170.5,105.4,73,34.5,478.9,19.3,63.9,-135.5,101.5,128.5,2.6,323.9,720.5,367.2,119.2,318.8,258.2,153.5,42.7,-116.5,-72.5,46.7,41.4,119,313.6,154.1,131.9,109.8,214.6,136.9,105.1,116.6,1206.1,514.3,918,396.4,645.5,1213.4,284.2,1121.1,2400.4,1638.4,846.4,861.1,1332.9,1343.2
136.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.7,228.2,188.4,139.2,115,31.5,450.1,-44.6,169.4,-144.5,88.1,124.5,12.6,403.8,725,328.1,89.5,230.6,295.6,264.6,121.1,-151,-45.3,44.1,50.8,236,285,155.1,111.4,129.4,220.9,110.8,123.4,123.9,1024.5,424.3,885.9,397.4,790.2,1303.3,190.4,750.4,2285.8,1517.8,893.3,1033.1,1340.3,1011.8
137.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.4,235.6,317.8,158.6,73.5,-4.5,432.1,10.3,130.8,-185,29.5,84.5,-49.2,386.4,779.5,353.8,104.7,201.4,230.1,295.3,59.8,-97,-110.4,177.6,33.2,244.6,277.1,156.6,139,162.2,231.3,113.9,131.3,101.1,861.3,521.3,843.4,475,582.7,1272.7,251.1,888.4,2525.1,1188.4,785,1178.5,1469.1,1308.8
137.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.3,257.8,373.2,24.2,51,42,334.4,-68.1,34.4,-129.5,134.8,46.5,-48.1,,,,,,,,,,,,,,275,151.1,139.3,142,224.8,134.1,151.9,112.9,1069.1,574.7,820.6,542.4,802.9,996.8,481.1,955.6,2630.9,1168.7,627.6,1143.8,1487.2,1219.7
137.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.6,187,141.2,109.5,215.4,159,158.9,109.9,1074.5,614.3,696.8,482.6,393.7,1057.5,360.3,640.7,2669.6,1199.8,482.5,898.5,1815.9,736.9
137.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.6,153.1,148.8,114.7,207,159.6,115.2,140.4,1126.6,485.5,851.9,390.2,551.7,1276,76.4,478,2350.3,1049.7,711.7,932.2,1608.8,801
138.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.9,135,137.9,124.6,207.7,148.8,109.9,158.1,1088.3,274.3,962.2,311.8,110.2,1239.5,-76.7,908.2,2145.8,982.1,822.1,1011.4,1421,913.2
138.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.2,113,154.2,117.8,199.7,111.3,105.5,125.8,983.9,128.9,939.3,430.3,949.6,1148.3,107.4,541.3,2369,1118,724.5,897.5,1817.5,482.1
138.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.3,125,141,126.7,190.9,122.3,112.6,129.3,980.8,399,748.7,443.4,816.8,971.6,349.2,889.1,2198.5,1395.6,658.6,1125.3,1399.4,789.6
138.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.4,156.2,126.2,139.3,200.4,93,126.1,135.3,1180.9,423.4,651.3,259.6,1008.3,864.7,229.1,755.1,1960.4,1123.2,467.7,1214.3,1300.3,706.1
138.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.5,143.8,132.6,150.1,216.5,118.9,116.7,122.5,1268.1,537,681.5,268,492.1,910.2,259.3,961,2143.2,1145.8,626.6,963.1,1489.4,768
139.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.5,141.8,141.5,140.4,231.5,126,127.7,129.4,990.8,461.9,826.2,390.5,739.1,1019.9,336,1198.1,2236.7,1366.2,647.3,1107,1255.9,712.3
139.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.6,153.5,151.8,95.7,239.2,133.3,125,120.3,885.2,448.1,884.6,402.8,929,1053.4,332.2,877,2770.2,1189.5,636,1033.2,1393.9,629.7
139.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.1,135.7,165.6,113,240.3,143.1,110.4,135.4,965.9,453.1,865.5,501.9,686.6,1071.4,389.9,940.7,2527.1,1133,579.2,827.7,1484.3,1286.1
139.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.6,173.4,172.7,135.5,234.1,163.7,115.4,134.1,779.2,483,889.7,453.4,613.3,886.2,344,751.6,2467.5,1240.7,769.1,800.7,1484.4,1505.2
140.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.1,167.4,136.1,137.9,219.3,106.3,131.9,101.1,790.9,495.6,935.6,422.4,1101.7,835.2,255.9,610.3,2364.5,1129.5,768.4,998.4,1162.7,1000.1
140.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.7,156.9,148.6,128.4,218.1,143,120.8,106.6,1021.1,371.2,836.4,627.2,898.4,1066.2,353.8,869.8,2002.4,1203.7,656.4,960.5,1112.9,988
140.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.9,149.4,185.2,120,223,117.2,102,110.2,665.1,399,752.5,545,689.6,1053.5,340.5,822.5,2343.4,1073.3,636.6,665.5,1106.2,1006
140.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.5,145.1,125.3,110.1,225.2,93.8,143.7,106.1,856.8,333.4,959,475.4,726.2,1086.4,202.4,1075.4,2449.6,1231,638.4,829.5,1081.3,722.2
140.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.7,136.9,99.5,105.1,209,136.9,135.2,105.6,845.8,474.6,1019,539.9,624.8,1081.5,169.2,1125,2340.1,934,474.8,934.1,1156.1,813.9
141.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.5,126.6,121.9,97.7,206.1,137.5,111.5,124.7,778.9,459.5,866.2,449.5,620.7,929.6,58.9,999.9,2200.2,1084,408.9,866.1,1194.8,958.6
141.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.8,146.4,128.3,109.5,211.2,146.4,120,115.8,965.4,321.6,779.9,339.9,514.6,866.4,-3.4,845.4,2186.6,1266.6,800.6,835.9,841.7,997
141.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.5,134.5,149.2,125.7,206.3,110.7,108.3,114.9,1034.3,336.7,729.2,439.7,703,1025.2,26.8,956.8,2223.5,1184.1,419.1,801.9,908.5,642.3
141.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.2,126.7,130.2,123.4,206,107,129.8,115.9,925.8,299.3,920.7,590.9,835.6,1177.7,87.2,632.5,2365.8,954.9,360.1,684.5,940.3,1015.8
142.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.1,136.8,116.6,107.8,200,116.3,125.1,131.5,976.1,149.6,981.1,719,840.8,1163.7,244.8,689,2660.1,891,393.8,741.8,925.7,671.9
142.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.1,127.1,141.7,119.9,204.2,144.1,126.5,115.9,1125.4,1.5,1072,670.8,607.7,1007.3,143,765.1,2284.5,1103,347.6,905.3,1134.5,639.9
142.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.5,139.6,119.1,144.9,204.7,128.9,115.3,91.7,938.9,107.3,1163.9,539.8,595.3,987.4,67.9,517.3,2248.3,962.9,326.2,740.3,1273.3,1141
142.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.1,156.3,96.3,147.6,199.7,95.4,114.7,103.2,830.8,259.5,1299.5,490.8,488,1016.9,302.2,706.5,2213.9,1056.5,423.8,578.4,1107.3,1055.1
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.5,144.6,107.1,88.9,197.7,74.3,118.8,100.3,1022.7,359.4,1069,347.6,746.8,1177.7,392.4,971.6,1937.2,966.5,404.8,627.5,1299.8,885.3
143.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.9,161.9,108.1,97.6,217.7,102,87,91,794.5,238.2,895.7,285.9,903.6,1320.7,259.4,682.9,2011.9,988.9,247.1,649.3,1081.5,867.1
143.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,150.7,107.7,122.1,210.2,93.7,87.6,98,593.4,230.1,968.8,334.1,632.8,1101.5,261.1,748.8,1908.5,1219.2,213.4,607,1157.9,885.3
143.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.1,151.8,123,115.1,179.6,141.8,106.6,115.7,547.1,316,884.5,367.9,682.1,1004.6,214.3,788.7,2119.8,1073.4,182.5,449.7,1045.6,1030.8
143.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.2,126.8,122.7,107.6,172.5,98.7,119.2,108.7,528.7,393.4,831.2,292.4,713.1,926,10.5,898.5,2068.4,969,412.8,506.5,847.4,967
144.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.6,113.7,127.9,91.1,177.1,89.8,83.6,85.7,497.5,317.4,789.7,253.9,287.5,1056.6,76.4,870.8,1785.9,985,423.4,624.9,799.3,719.8
144.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.8,144.2,144.8,98,185.6,98.5,105.4,61.5,661.7,256.7,978.3,308.6,436.2,1059.5,261.3,508.1,1834.7,1172.7,365.6,703,998,772.7
144.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.1,139.1,111.4,115.1,216.8,105.2,122.6,90,675.4,64.9,1032.1,289.4,384.3,880.7,351,637.6,2002.3,978.9,360.3,596.1,853.5,1154.7
144.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.5,147.4,122.5,119,225.7,65.6,119,108.3,727,-77.3,932.2,355.8,729.9,1051.1,377.9,745.1,2033.3,1094.4,443,594.6,860.5,699.8
145.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.2,163.6,146.9,159.7,188.1,112.9,134.7,98.9,846.8,-91.5,899.3,512.9,503.1,1032.2,180.4,705.3,1768.3,1041.8,547,668.9,930.4,881.6
145.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.3,146.9,125.7,96.4,174.5,141.8,132.9,101.5,797,104.7,825.2,460.8,488.5,1101,69.7,1050.9,2005.2,1054,304.3,615.4,1057.8,1047.3
145.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.7,132.8,118.7,88.6,182.5,116.6,112.4,91.3,925.3,137.5,868,328.5,261.4,1079.5,189.3,703.5,2062.5,806.5,342.4,707.5,922.4,771.4
145.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.3,126,128.5,79,190.6,153.1,113.5,80.9,734.3,63.8,630.5,292.4,704.1,786.2,204.4,529.5,2130.1,992.1,439.8,742.2,772.5,634.3
145.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.7,108.3,130.3,115,176.1,73.3,111.6,87.4,825.7,53.4,811,353.7,902.5,749.7,197.7,748,1853.3,1267,412.2,539.3,678.5,807.5
146.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1,129.3,132.5,128,172.1,99.6,99.8,101,834.6,65.2,951.7,491.3,795.3,1031,138.8,761.3,1553.6,1129.8,244.9,468.7,817.6,806.8
146.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.5,157.3,116.6,86.4,188.6,93.5,90.3,100.4,727.5,214.6,780.4,482.2,645.4,1123.7,207.5,783.5,2108.6,933.5,389,555.9,782.2,721.7
146.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.1,148.9,117.7,125,192.2,136.4,103.4,86.8,660.6,225.1,716.7,378.9,180.6,879.2,308.3,798,1623.8,910.2,450,702.4,723.1,1010.1
146.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.2,127,114.2,81.5,191.7,96.7,127.9,95.9,809.8,59,714.1,383.9,462.3,832,272.6,559.1,1580.1,955.8,435.7,731.6,695.3,790
147.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,133.5,98.6,103.8,193.1,113,98.3,108.3,494.1,143.9,881.9,378.5,889.6,924.2,265.7,795.4,1756.1,1042.6,386.5,635.8,667.3,635.3
