"","disc1-WT-Avg","disc2-WT-Avg","disc3-WT-Avg","disc4-WT-Avg","disc5-WT-Avg","disc6-WT-Avg","disc7-WT-Avg","disc8-WT-Avg","disc10-WT-Avg","disc11-WT-Avg","disc12-WT-Avg","disc13-WT-Avg","disc15-WT-Avg"
"46",10.789,-43.6545,-69.2895,-10.949,28,29,252.6685,5.235,-82.857,11,52.534,11.5,-67.0105
"47",29.1,-52.9215,-47.0665,-63.0525,30.5,-49.5,174.7245,-33.8875,-53.3825,-63.5,73.9865,144.5,-102.5985
"48",-62.6805,-77.3215,-12.2925,-143.711,25.5,-59,218.556,60.9915,-8.2245,-106,19.59,-69.5,-25.102
"49",-79.701,-124.8195,1.2875,-134.983,26.5,-47.5,73.959,51.2925,-6.5355,-19.5,-11.5445,75,-60.837
"50",-28.395,-115.862,4.5715,-45.578,29,-13.5,240.801,36.9115,-83.8975,-123.5,27.932,54,-79.8335
"51",-20.3265,-126.398,16.753,-107.0815,30,9.5,193.0275,79.6295,-121.566,-61,-34.8405,25,-100.4425
"52",12.102,-43.7825,-33.616,-5.6055,30.5,27.5,182.342,65.167,2.8065,-85,-19.66,80,-71.8265
"53",70.6105,-39.0715,6.117,-110.7005,86,38,195.092,130.463,-67.9455,-121,52.163,53.5,-107.57
"54",-52.4935,-86.551,-9.034,-104.3195,95.5,-45.5,167.6345,177.5785,-55.935,81.5,9.185,32,-96.2825
"55",-77.9425,-65.01,20.709,-125.2585,108,97.5,216.9645,13.67,-12.964,40.5,52.0545,14.5,-152.8625
"56",-7.3335,-16.2755,-1.4595,-43.4455,77,1,171.461,21.5275,30,-23.5,0.2395,-17.5,-122.245
"57",-26.7995,1.2655,34.869,-71.3895,77,-33,206.6395,29.0275,-5.748,-105,-36.259,17.5,-92.381
"58",84.816,-30.012,-21.2485,-51.3945,110.5,-13.5,164.801,-10.5935,16.837,-90,16.551,51,-93.9795
"59",-11.798,-52.517,-29.842,-60.1905,59.5,-0.5,121.954,38.905,50.4885,-108.5,48.2415,-3,-90.051
"60",-27.558,-82.4285,1.5065,-31.4185,109,-30.5,202.529,22.4865,-34.5475,-81.5,47.993,-8.5,-134.2485
"61",67.238,-45.1565,53.1325,-67.556,60.5,45.5,184.944,92.786,-22.7805,-8,87.3945,79.5,-102.087
"62",-13.65,-103.8195,85.9795,-4.9965,31,18,123.9235,77.133,93.7725,-37.5,36.8755,99,-30.932
"63",-40.825,-78.398,40.6275,-50.158,124.5,-28,269.153,40.4355,-57.345,-7.5,33.0405,37,-70.1445
"64",-25.3065,-17.476,29,-24.449,52,21,173.8215,111.7025,-65.255,0,-53.4625,-5.5,-130.255
"65",3.59,91.8095,52.5865,10.978,83,75.5,124.813,136.3605,-106.9895,26,66.663,42,-92.658
"66",-14.2585,-31.107,146.993,57.1635,173.5,-4,162.2125,-2.881,-37.6425,-110.5,-35.349,34,-109.0785
"67",84.464,27.619,73.896,125.4475,100.5,23,274.801,100.2725,-61.7805,-54,-18.3195,47.5,-81.2605
"68",70.799,10.5135,73.5815,39.483,153,-91.5,136.4675,53.6585,-59.129,-39.5,42.483,68,-35.289
"69",52.84,-63.357,209.3725,-21.187,152.5,-64,109.2025,58.609,25.5395,-5,20.0065,32,-85.0935
"70",-45.041,-33.1665,36.898,-0.49,111,-23,232.403,86.245,33.0715,-52,-0.2295,-8,-146.551
"71",1.804,-70.3265,119.714,22.733,154,-10,275.3435,177.5105,12.432,76,20.8635,-75,-100.597
"72",-72.1365,-9.745,52.918,62.422,119.5,-12.5,267.658,159.4815,58.609,3,22.4875,-33,-97.9595
"73",-22.2265,-48.932,75.602,24.2925,135.5,-5.5,283.602,121,91.7145,-154.5,83.527,-34.5,-101.49
"74",-47.405,42.3455,6.4895,1.4115,133,22,189.257,136.33,76.677,-77.5,59.661,-21,-103.296
"75",116.639,-84.9795,37.4235,84.5425,91.5,-34.5,239.1155,170.803,19.3185,-67.5,9.6835,13,-86.1495
"76",-4.1395,-80.92,93.4795,59.17,153.5,12.5,225.75,246.8165,102.592,-33,63.265,-42.5,-76.184
"77",40.3145,32.1495,116.214,73.2585,148.5,63,272.692,278.5615,122.8095,41.5,87.867,10,-98.75
"78",-39.9865,-13.51,101.357,59.5035,169,100.5,172.1955,155.1345,78.3065,-109.5,50.787,-9.5,-2.4425
"79",84.8995,-46.568,102.6715,126.6685,222.5,9.5,271.444,102.7215,26.684,15.5,40.901,-3,-88.3315
"80",63.105,-36.0545,32.714,70.4525,198,47.5,174.1445,154.8215,73.813,-34,76.401,-23,-64.905
"81",28.636,-65.643,169.2515,88.4695,153.5,-57.5,208.636,165.6295,46.281,-53,56.67,86,-77.927
"82",39.105,-39.495,102.459,88.211,182.5,75.5,154.3115,189.9305,-0.806,-133.5,41.7025,-15.5,-26.245
"83",54.0185,-10.5035,88.561,60.6105,127.5,193,190.9475,156.4695,54.798,-13,69.1905,-144.5,-133.6975
"84",100.034,-16.3265,118.211,55.4625,108,99,171.3485,246.9455,115,47,114.6885,-69.5,-43.5135
"85",91.595,21.541,166.5235,69.063,209.5,99,250.0105,191.684,76.541,-25.5,79.1325,-26.5,-79.995
"86",161.7685,-0.3165,130.5815,86.381,237.5,-9,170.539,205.7095,97.034,-60,136.4015,-9,-68.218
"87",99.3245,-72.265,244.2075,125.2465,176,-13.5,295.575,178.4765,100.2755,-2,71.8605,28.5,-31.4355
"88",135.5405,-2.4405,192.0985,44.01,156.5,188,205.2605,255.7265,57.745,-48.5,100.678,75.5,-109.5815
