"","x"
"1",1029163.77106102
"2",196958.281084746
"3",260271.155110888
"4",931117.61370999
"5",105413.654227006
"6",418305.060055447
"7",706175.697958265
"8",730121.62214729
"9",585005.930842516
"10",461346.749226115
"11",844396.788013409
"12",232493.407324843
"13",159739.905407799
