"","Identifier_peak2","AUC_Values_peak2"
"1","wt",43224.9404638766
"2","wt",53351.0788085903
"3","wt",53052.2156977974
"4","wt",31181.9082297357
"5","wt",19236.9179021047
"6","wt",24532.4812237861
"7","wt",50385.4390601322
"8","wt",39505.6060199892
"9","wt",32636.2998887665
"10","wt",21537.5830791772
"11","wt",25963.5924730565
"12","wt",24083.4863623348
"13","wt",18619.9328850123
"14","old mCherry",38404.568064978
"15","old mCherry",45307.5453374449
"16","old mCherry",89061.7124193833
"17","old mCherry",40562.0130051198
"18","old mCherry",28952.0816822206
"19","old mCherry",39478.2491750315
"20","old mCherry",35543.6048535074
"21","old mCherry",45367.7112526432
"22","old mCherry",60545.0364923342
"23","old mCherry",38154.5522519696
"24","old mCherry",27212.652173472
"25","new mCherry",33227.4906094714
"26","new mCherry",24247.6056678414
"27","new mCherry",28386.5919991189
"28","new mCherry",24178.0729101322
"29","new mCherry",30946.5701590308
"30","new mCherry",32973.5597647577
"31","new mCherry",21724.7858907489
"32","new mCherry",25193.6648605727
"33","old orai",33318.3651463103
"34","old orai",39987.1799476158
"35","old orai",42977.5096537106
"36","old orai",45159.7229211835
"37","old orai",58885.9660645374
"38","new orai",10755.7144997797
"39","new orai",15344.2892310573
"40","new orai",10187.6759636564
"41","new orai",10703.1490528634
"42","new orai",7516.12282334802
"43","new orai",8306.1158845815
"44","stim",30145.9227179938
"45","stim",45710.5899828194
"46","stim",52179.0335633076
"47","stim",66447.1011447137
"48","stim",75806.8160975771
"49","stim",50134.6279782012
"50","stim",34034.9939214657
"51","stim",62548.939127533
"52","stim",35269.4205335472
"53","stim",60478.8106729149
"54","best2",37836.2530046255
"55","best2",37949.5579427313
"56","best2",42910.8941169603
"57","best2",20102.6083312775
"58","best2",37888.7907398678
"59","best2",40821.7124746696
"60","best2",45716.6739154185
"61","best2",32467.9884332599
"62","best2",17158.3184540887
"63","best2",19696.8076058171
"64","best2",24587.7715134837
"65","best2",26717.2567475013
"66","best2",27751.9954682819
"67","SERCA",138698.677040529
"68","SERCA",142918.071409289
"69","SERCA",109643.040015198
"70","SERCA",68850.9809242291
"71","SERCA",95127.4249140969
"72","SERCA",157063.452015198
"73","SERCA",62029.9152829907
"74","SERCA",120831.593121145
"75","SERCA-mCherry",214762.692713436
"76","SERCA-mCherry",127397.608829956
"77","SERCA-mCherry",67414.8096739512
"78","SERCA-mCherry",127713.400947357
"79","SERCA-mCherry",93141.6575433921
"80","SERCA-mCherry",120816.1285663
