,Identifier,AUC_Values_Total,AUC_Values_peak1,AUC_Values_peak2,Non-Absolute AUC_Values_Total,Non-Absolute AUC_Values_peak1,Non-Absolute AUC_Values_peak2,peak1 cutoff distance (microns)
8,SERCA,285037.8527,139025.9725,146011.7469,266491.92,138730.2739,127761.6072,
8,SERCA,257485.1719,111204.5922,146280.6099,184981.2088,111204.5922,73776.59345,
8,SERCA,203402.5731,105178.6076,98224.27992,144715.3319,105178.6076,39536.73712,
8,SERCA,0,0,0,0,0,0,
8,SERCA,0,0,0,0,0,0,
8,SERCA,0,0,0,0,0,0,
8,SERCA,0,0,0,0,0,0,
9,SERCA-mCherry,404936.0743,157171.2581,247764.8671,404936.0743,157171.2581,247764.8671,
9,SERCA-mCherry,293612.0083,150069.0842,143518.8315,293612.0083,150069.0842,143518.8315,
9,SERCA-mCherry,146377.7944,70884.50175,75493.30938,143784.2308,70884.50175,72899.72729,
9,SERCA-mCherry,299563.1724,129924.7986,169638.4246,299563.1724,129924.7986,169638.4246,
9,SERCA-mCherry,200457.2175,105573.6582,94883.62218,200457.2175,105573.6582,94883.62218,
9,SERCA-mCherry,0,0,0,0,0,0,
